the;5962;4.771
I;5158;4.128
and;4810;3.849
to;4331;3.466
of;3622;2.898
a;2329;1.864
my;2091;1.673
was;1971;1.577
in;1913;1.531
that;1879;1.503
it;1741;1.393
had;1547;1.238
as;1468;1.174
for;1321;1.057
me;1222;0.978
with;1113;0.890
not;991;0.793
but;960;0.768
which;895;0.716
them;867;0.693
or;823;0.658
so;815;0.652
he;762;0.609
this;760;0.608
they;745;0.596
all;744;0.595
at;686;0.549
be;669;0.535
him;650;0.520
on;606;0.485
by;588;0.470
were;588;0.470
could;567;0.453
we;542;0.433
upon;507;0.405
have;484;0.387
would;481;0.384
very;454;0.363
from;452;0.361
no;437;0.349
one;427;0.341
out;425;0.340
if;418;0.334
his;405;0.324
up;386;0.308
some;382;0.305
when;374;0.299
two;371;0.296
what;360;0.288
made;351;0.280
more;346;0.276
any;341;0.272
great;340;0.272
into;338;0.270
their;336;0.268
there;327;0.261
been;318;0.254
might;301;0.240
myself;295;0.236
being;292;0.233
found;292;0.233
about;292;0.233
should;284;0.227
came;284;0.227
now;281;0.224
time;279;0.223
little;271;0.216
shore;269;0.215
much;267;0.213
did;259;0.207
than;256;0.204
first;250;0.200
other;250;0.200
you;245;0.196
before;244;0.195
boat;244;0.195
ship;241;0.192
our;239;0.191
make;227;0.181
go;227;0.181
such;223;0.178
where;219;0.175
an;211;0.168
is;211;0.168
again;211;0.168
how;210;0.168
way;207;0.165
us;206;0.164
went;206;0.164
three;204;0.163
these;203;0.162
place;201;0.160
down;199;0.159
come;197;0.157
after;195;0.156
then;194;0.155
though;193;0.154
do;189;0.151
Friday;188;0.150
began;185;0.148
s;183;0.146
sea;183;0.146
island;182;0.145
well;180;0.144
good;178;0.142
who;178;0.142
day;173;0.138
see;171;0.136
said;170;0.136
over;168;0.134
things;165;0.132
thought;165;0.132
like;162;0.129
her;160;0.128
God;159;0.127
man;157;0.125
saw;155;0.124
away;150;0.120
men;150;0.120
water;148;0.118
work;148;0.118
took;146;0.116
nothing;145;0.116
indeed;143;0.114
life;143;0.114
yet;140;0.112
having;140;0.112
But;139;0.111
part;139;0.111
never;138;0.110
knew;138;0.110
without;134;0.107
off;134;0.107
The;133;0.106
many;130;0.104
say;130;0.104
only;127;0.101
He;125;0.100
till;125;0.100
side;124;0.099
lay;121;0.096
told;119;0.095
brought;118;0.094
own;116;0.092
another;115;0.092
got;115;0.092
thoughts;115;0.092
take;114;0.091
are;114;0.091
too;113;0.090
captain;113;0.090
set;113;0.090
This;112;0.089
near;109;0.087
next;109;0.087
also;108;0.086
must;106;0.084
get;101;0.080
same;100;0.080
gave;100;0.080
mind;100;0.080
long;99;0.079
most;99;0.079
resolved;98;0.078
just;98;0.078
enough;98;0.078
left;97;0.077
done;97;0.077
every;94;0.075
those;92;0.073
last;90;0.072
In;89;0.071
It;89;0.071
ground;89;0.071
put;89;0.071
back;88;0.070
while;88;0.070
may;88;0.070
nor;88;0.070
